Registration Option,MIST ID,Category I: Knowledge and Quran,Category II: Arts,Category III: Writing and Oratory,Category IV: Brackets,Category V: Group Projects,Category VI: Sports,Category VII: eSports
Competitor,7WU27-8AIZS,Knowledge Test 1,Fashion Design,Short Fiction,Debate,,,**Chess[DC]**
Competitor,7WU27-VTPQL,,,,,,,
Competitor,7WU27-NKD2B,,2D Art,,,,,
Competitor,XCB5B-W2FC9,Knowledge Test 4,,,,Short Film,Basketball - Male,**NBA 2K (DC) **
Competitor,2IUSV-DFOXR,Quran Recitation - Male,**Culinary Arts [2 max]**,,Improv - Male,Short Film,Basketball - Male,**NBA 2K (DC) **
Competitor,2IUSV-OKUPE,,,,MIST Quiz Bowl,Short Film,Basketball - Male,
Competitor,2IUSV-WMKDF,,,,Improv - Male,Short Film,,
Competitor,2IUSV-UO6CS,Quran Memorization - Level 1 - Male,,,MIST Quiz Bowl,,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,2IUSV-U1XJU,Quran Memorization - Level 1 - Male,,,,Short Film,Basketball - Male,
Competitor,2IUSV-2B8WH,Knowledge Test 1,,,MIST Quiz Bowl,,Basketball - Male,
Competitor,2IUSV-NA3OF,,,,Improv - Male,Short Film,Basketball - Male,**NBA 2K (DC) **
Competitor,2IUSV-G1DDM,,,,Improv - Male,,,
Competitor,2IUSV-JQCG3,,,,,Short Film,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,VJ2GK-JLAC5,,,Short Fiction,MIST Quiz Bowl,,,
Competitor,VJ2GK-QB0XD,,,Extemporaneous Essay,MIST Quiz Bowl,,,
Competitor,VJ2GK-BROL0,,**Culinary Arts [2 max]**,,,,,**Super Smash Bros - Singles (DC)**
Competitor,VJ2GK-M1P7Q,,Fashion Design,,,,,
Competitor,R9926-TJO89,Quran Recitation - Male,,,,,**Soccer [DC]** - Male,**Chess[DC]**
Competitor,Y0J9Q-V2MGN,,Digital Art,,,Social Media,**Soccer [DC]** - Male,
Competitor,VJ2GK-5BN30,,,,Improv - Male,Short Film,,
Competitor,VJ2GK-8WENH,,,,,Short Film,,
Competitor,VJ2GK-6A7VC,,,,,Short Film,Basketball - Male,**NBA 2K (DC) **
Competitor,VJ2GK-AZQAJ,Knowledge Test 2,Photography,Poetry,,Short Film,,
Competitor,VJ2GK-P4G13,,**Culinary Arts [2 max]**,Short Fiction,,,,
Competitor,VJ2GK-JN12B,Knowledge Test 3,,,,,Basketball - Male,
Competitor,HIEQ8-O3UMU,,Photography,,,Nasheed/Rap - Female,Basketball - Female,
