Registration Option,MIST ID,Category I: Knowledge and Quran,Category II: Arts,Category III: Writing and Oratory,Category IV: Brackets,Category V: Group Projects,Category VI: Sports,Category VII: eSports
Competitor,HIEQ8-TINU8,Knowledge Test 1,,,,,,
Competitor,PA0EM-0ZFQF,Quran Recitation - Male,**Culinary Arts [2 max]**,Extemporaneous Speaking,MIST Quiz Bowl,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,V7K3K-YVTC6,Quran Recitation - Male,,,MIST Quiz Bowl,,**Soccer [DC]** - Male,**Chess[DC]**
Competitor,HIEQ8-RD5VT,,,,Improv - Female,Nasheed/Rap - Female,,
Competitor,1HAZB-R8DGP,,,,Improv - Male,,,**Chess[DC]**
Competitor,1HAZB-DFIOI,,2D Art,,,,,**Super Smash Bros - Singles (DC)**
Competitor,1HAZB-AB162,,Fashion Design,,,,,
Competitor,1HAZB-4E055,,**Scrapbook - DC**,,,,,
Competitor,1HAZB-YF0T2,Knowledge Test 1,,,Improv - Male,,,**NBA 2K (DC) **
Competitor,1HAZB-CW7EA,Knowledge Test 1,,,,,,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,1HAZB-L97MO,,,,Improv - Male,,,**Super Smash Bros - Singles (DC)**
Competitor,1HAZB-B83XJ,,,Spoken Word,MIST Quiz Bowl,Science Fair,,
Competitor,1HAZB-HE4WL,Knowledge Test 3,**Scrapbook - DC**,,MIST Quiz Bowl,Business Venture,,
Competitor,1HAZB-VUF8L,,,,MIST Quiz Bowl,Science Fair,,
Competitor,1HAZB-8GTO0,,,,,Business Venture,,
Competitor,1HAZB-IJGVZ,Quran Recitation - Male,,,,,,
Competitor,1HAZB-ZFVM9,,2D Art,,,,,
Competitor,1HAZB-0RWLM,Knowledge Test 1,,,Improv - Male,Short Film,,
Competitor,1HAZB-8AJ2S,,,,,Short Film,,
Competitor,1HAZB-E9A7V,,,,,Short Film,,
Competitor,1HAZB-VPR2C,Quran Recitation - Male,,,Improv - Male,,,
Competitor,1HAZB-KO4Z2,Knowledge Test 1,,,,,,**NBA 2K (DC) **
Competitor,SIG90-IBVSR,,,,Improv - Female,Short Film,,
Competitor,SIG90-3Y87U,,Photography,,Improv - Female,,,
Competitor,SIG90-A6KJI,,,Poetry,,,,
Competitor,SIG90-YP96W,Quran Recitation - Male,,,,,,
Competitor,SIG90-IUBYM,Quran Recitation - Female,,,,,,
Competitor,SIG90-HCNKO,,Photography,Prepared Essay,,,,
Competitor,SIG90-42137,,,,Debate,Nasheed/Rap - Male,,
Competitor,SIG90-62N8J,,,,,Nasheed/Rap - Male,,
Competitor,ZYCBV-ULV9Q,Knowledge Test 1,,,,,**Soccer [DC]** - Male,
Competitor,SIG90-2YFD2,,**Culinary Arts [2 max]**,,,,,
Competitor,SIG90-19VBP,,,,Debate,Nasheed/Rap - Male,,**NBA 2K (DC) **
Competitor,SIG90-47E0A,,,,,Nasheed/Rap - Male,,**NBA 2K (DC) **
Competitor,SIG90-78VLR,Knowledge Test 1,,,,,,
Competitor,SIG90-JY81E,,,,MIST Quiz Bowl,,,
Competitor,KHPIY-0HI21,,,Extemporaneous Speaking,MIST Quiz Bowl,,**Soccer [DC]** - Male (waitlisted),**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,SIG90-YEXR4,,,,MIST Quiz Bowl,Short Film,,
Competitor,SIG90-MI1MB,,Photography,,,Humanitarian Service,,
Competitor,SIG90-WXWSP,Knowledge Test 1,,,,,,
Competitor,SIG90-ILCMM,Knowledge Test 1,,,,,,
Competitor,SIG90-ZXYGA,,,Spoken Word,Improv - Female,,,
Competitor,CUMBQ-95EPX,,,,,,**Soccer [DC]** - Male (waitlisted),**FIFA 2020 (PS4 + XBOX) - DC** (waitlisted)
Competitor,HIEQ8-HODNU,,,,MIST Quiz Bowl,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,SIG90-1HUQC,Quran Memorization - Level 1 - Female,,,,Short Film,,
Competitor,SIG90-OU31E,,Photography,Spoken Word,Improv - Female,Humanitarian Service,,
Competitor,SIG90-IH7TL,,,,MIST Quiz Bowl,Short Film,,
Competitor,SIG90-1O2SD,,,,Improv - Female,,,
Competitor,SIG90-FM7N3,,,,Improv - Female,,,
Competitor,1NO4P-DXE5K,Quran Memorization - Level 1 - Male,,,,,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,1NO4P-B0RQS,Quran Memorization - Level 2 - Female,,Short Fiction,MIST Quiz Bowl,,,
Competitor,R9926-49UB7,,,,Improv - Male,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,1NO4P-QTIPD,,,,Improv - Female,Humanitarian Service,**Soccer [DC]** - Female,
Competitor,1NO4P-EMSRR,Quran Recitation - Male,,Extemporaneous Speaking,,Nasheed/Rap - Male,Basketball - Male,
Competitor,1NO4P-8XVEC,Quran Memorization - Level 3 - Male,2D Art,,MIST Quiz Bowl,Short Film,Basketball - Male,
Competitor,1NO4P-07VH0,Quran Memorization - Level 3 - Female,Fashion Design,Poetry,Math Olympics,Nasheed/Rap - Female,**Soccer [DC]** - Female,
Competitor,1NO4P-AO805,,3D Art,Spoken Word,Debate,Short Film,**Soccer [DC]** - Female,
Competitor,1NO4P-JNOO8,,Fashion Design,Poetry,,Social Media,,
Competitor,UVHWU-033OF,Knowledge Test 1,2D Art,,,,**Soccer [DC]** - Male,**Chess[DC]**
Competitor,JW7VO-FY6AO,Quran Recitation - Male,Photography,Poetry,Debate,Short Film,**Soccer [DC]** - Male,
Competitor,1NO4P-GPWGM,,**Culinary Arts [2 max]**,Original Oratory,MIST Quiz Bowl,Social Media,,
Competitor,1NO4P-O61KX,,2D Art,,,,**Soccer [DC]** - Female,
Competitor,1NO4P-KSN7K,Knowledge Test 2,,Original Oratory,,Short Film,,**Super Smash Bros - Singles (DC)**
Competitor,1NO4P-2J7SD,Knowledge Test 2,,,MIST Quiz Bowl,Short Film,,
Competitor,1NO4P-WXO2B,Knowledge Test 2,,,MIST Quiz Bowl,Short Film,,
Competitor,1NO4P-6IK97,Knowledge Test 1,,,,,,
Competitor,1NO4P-W1DF0,,3D Art,,,,,
Competitor,1NO4P-O90HN,Quran Memorization - Level 2 - Female,**Culinary Arts [2 max]**,,Debate,,,**Chess[DC]**
Competitor,1NO4P-I1HH0,Quran Recitation - Female,Fashion Design,,,Nasheed/Rap - Female,,
Competitor,1NO4P-SIBDS,,,Short Fiction,,,,
Competitor,1NO4P-FTARU,,,,,Humanitarian Service,,
Competitor,JW7VO-ZBT3B,Quran Memorization - Level 1 - Male,,,,Short Film,**Soccer [DC]** - Male,**Chess[DC]**
Competitor,1NO4P-WVBI2,,,,,Humanitarian Service,**Soccer [DC]** - Female,
Competitor,1NO4P-08ZUR,,,,,Business Venture,,**Chess[DC]**
Competitor,JW7VO-5LNPO,,,,MIST Quiz Bowl,Humanitarian Service,**Soccer [DC]** - Male,
Competitor,1NO4P-4CLSA,,,,,Humanitarian Service,,
Competitor,1NO4P-LA468,,,,Improv - Female,,,
Competitor,1NO4P-BAT2G,,,,Improv - Female,,,
Competitor,1NO4P-0LH2P,,,,Improv - Female,,,
Competitor,1NO4P-ZC2H4,,,,Improv - Female,,,
Competitor,UVHWU-NCMR1,,,,,Short Film,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,HIEQ8-WU2PO,,,,,Business Venture,**Soccer [DC]** - Male,
Competitor,1NO4P-QAIEY,Quran Recitation - Female,,,,Short Film,,
Competitor,HIEQ8-YIL4J,,,,Improv - Male,,**Soccer [DC]** - Male,
Competitor,1NO4P-L4Z1G,Quran Memorization - Level 1 - Female,2D Art,,,,,
Competitor,1NO4P-ZFHR8,,,Extemporaneous Essay,,,**Soccer [DC]** - Female,
Competitor,VJ2GK-953LE,Quran Memorization - Level 3 - Male,,,,,**Soccer [DC]** - Male,**Super Smash Bros - Singles (DC)**
Competitor,1NO4P-71SS2,,,,,Humanitarian Service,,
Competitor,1NO4P-2V7GR,,,,Improv - Female,,,
Competitor,1NO4P-K9ZMQ,,,Prepared Essay,MIST Quiz Bowl,,,**Super Smash Bros - Singles (DC)**
Competitor,1NO4P-ZKZ07,Quran Memorization - Level 3 - Male,,Spoken Word,,Science Fair,,
Competitor,1NO4P-UF279,Quran Memorization - Level 2 - Male,,,Math Olympics,Science Fair,,
Competitor,FNBJ2-7X8CR,,2D Art,Poetry,MIST Quiz Bowl,,,
Competitor,FNBJ2-KE03Z,Knowledge Test 4,,Extemporaneous Speaking,Improv - Male,,Basketball - Male,
Competitor,FNBJ2-PGW4Z,,,,,,,
Competitor,FNBJ2-04ZOX,Knowledge Test 4,,,Improv - Male,,,**Super Smash Bros - Singles (DC)**
Competitor,09OMA-PDLMY,,,,,,,
Competitor,09OMA-M3AA0,,,,,,,
Competitor,KHPIY-55JXM,,3D Art,,MIST Quiz Bowl,Humanitarian Service,,
Competitor,KHPIY-E2X4D,Knowledge Test 3,**Culinary Arts [2 max]**,,,Humanitarian Service,**Soccer [DC]** - Female,
Competitor,KHPIY-OG97I,,Photography,Poetry,MIST Quiz Bowl,,**Soccer [DC]** - Female,
Competitor,KHPIY-WETOK,,,,Improv - Male,,**Soccer [DC]** - Male (waitlisted),**Super Smash Bros - Singles (DC)**
Competitor,KHPIY-SME3G,,,,Math Olympics,,**Soccer [DC]** - Female,
Competitor,KHPIY-9IBEP,,,,,,,
Competitor,KHPIY-3QWAZ,Quran Recitation - Female,,Prepared Essay,MIST Quiz Bowl,Social Media,**Soccer [DC]** - Female,
Competitor,KHPIY-AUZPR,,,,,,,
Competitor,UVHWU-PNKLN,,3D Art,,Math Olympics,Business Venture,**Soccer [DC]** - Male,
Competitor,KHPIY-8ZDTN,,,,Improv - Female,Short Film,**Soccer [DC]** - Female,
Competitor,SIG90-BDHWC,,**Culinary Arts [2 max]**,,MIST Quiz Bowl,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,KHPIY-3CSWF,,Photography,,,Short Film,**Soccer [DC]** - Female,
Competitor,KHPIY-HEW1J,,3D Art,Poetry,,,,
Competitor,KHPIY-ORF32,,,Short Fiction,,,**Soccer [DC]** - Female,
Competitor,KHPIY-1WKGP,,,,,,,
Competitor,VJ2GK-FT4SS,,,,,Nasheed/Rap - Male,**Soccer [DC]** - Male,
Competitor,KHPIY-9JZ90,Quran Recitation - Female,,Prepared Essay,,,,
Competitor,KHPIY-2DAK7,,,,,,,
Competitor,KHPIY-DI4Q6,,,,,,,
Competitor,KHPIY-6H5KW,,**Culinary Arts [2 max]**,,MIST Quiz Bowl,Short Film,,
Competitor,KHPIY-E28VJ,,,,Debate,,**Soccer [DC]** - Female,
Competitor,Y0J9Q-KOL9F,Quran Memorization - Level 3 - Male,,Prepared Essay,,,**Soccer [DC]** - Male,
Competitor,R9926-U1CWR,,2D Art,Short Fiction,,,,
Competitor,R9926-EUMHX,Quran Memorization - Level 2 - Male,,Extemporaneous Essay,Math Olympics,,,
Competitor,CUMBQ-LOM1Y,,,,Improv - Female,,Basketball - Female ,
Competitor,1NO4P-THB1K,,,,,Business Venture,**Soccer [DC]** - Male,
Competitor,V7K3K-2NDET,,,,,,**Soccer [DC]** - Male (waitlisted),
Competitor,VJ2GK-EG6JE,Quran Memorization - Level 2 - Male,,,,,**Soccer [DC]** - Male,**Chess[DC]**
Competitor,1NO4P-W7ET2,,,,,Business Venture,**Soccer [DC]** - Male,
Competitor,R9926-AIZKJ,,Photography,,,,,
Competitor,R9926-LQQ29,,,Prepared Essay,MIST Quiz Bowl,Short Film,,
Competitor,PA0EM-4WII2,Quran Recitation - Male,,,MIST Quiz Bowl,Short Film,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,R9926-H4WO3,Quran Memorization - Level 1 - Female,,,,,,
Competitor,R9926-0F7TH,Knowledge Test 3,**Scrapbook - DC**,Short Fiction,MIST Quiz Bowl,Short Film,,
Competitor,Y0J9Q-XC3DO,Knowledge Test 2,,,,Humanitarian Service,**Soccer [DC]** - Male,
Competitor,R9926-NBHU5,Knowledge Test 4,,,Debate,,,
Competitor,R9926-33L6W,Knowledge Test 3,Fashion Design,,Improv - Female,Nasheed/Rap - Female,,
Competitor,R9926-1T0ZT,,,,Improv - Female,,**Soccer [DC]** - Female,
Competitor,R9926-XX0KL,,,,Improv - Female,,,
Competitor,R9926-HK2TZ,Quran Recitation - Female,Photography,,MIST Quiz Bowl,Short Film,,
Competitor,R9926-KBZFN,,**Culinary Arts [2 max]**,Extemporaneous Speaking,,,,
Competitor,R9926-2GRUB,Quran Memorization - Level 2 - Male,,,Improv - Male,Short Film,Basketball - Male,
Competitor,R9926-EEL7M,,,,,Social Media,,
Competitor,R9926-M539A,,,,,Nasheed/Rap - Male,Basketball - Male,
Competitor,R9926-SO6RM,Knowledge Test 3,,,Improv - Female,,,
Competitor,R9926-SV9YT,Knowledge Test 2,,,,Nasheed/Rap - Male,Basketball - Male,
Competitor,R9926-GDIHF,,,,,Social Media,,
Competitor,R9926-7GXG1,Knowledge Test 2,,,,,,**Super Smash Bros - Singles (DC)**
Competitor,R9926-6AB5X,Knowledge Test 3,,,,,,
Competitor,R9926-EGB6W,Quran Memorization - Level 3 - Female,,,,,,
Competitor,R9926-SK8OV,Quran Memorization - Level 2 - Female,,,,Social Media,,
Competitor,R9926-PID19,,3D Art,,,,,
Competitor,R9926-2TQFQ,Knowledge Test 1,,Extemporaneous Essay,MIST Quiz Bowl,Short Film,,
Competitor,R9926-ENE0I,,,,,Social Media,Basketball - Male,**NBA 2K (DC) **
Competitor,UVHWU-BAUU4,Knowledge Test 1,2D Art,,,,**Soccer [DC]** - Male,**Chess[DC]**
Competitor,Y0J9Q-J6Q86,,,,Math Olympics,,Basketball - Female,
Competitor,R9926-LLFE5,Quran Memorization - Level 1 - Female,,,Improv - Female,,,
Competitor,Y0J9Q-92YYH,,,,,Humanitarian Service,**Soccer [DC]** - Male,**Super Smash Bros - Singles (DC)**
Competitor,R9926-WBT2F,,,Spoken Word,Improv - Female,Nasheed/Rap - Female,,
Competitor,R9926-AIJD2,,2D Art,,,,,
Competitor,R9926-B9NDW,Knowledge Test 4,,,,,,
Competitor,R9926-6U05D,,**Scrapbook - DC**,,,,,
Competitor,R9926-Z6JGV,Knowledge Test 2,,Prepared Essay,MIST Quiz Bowl,,,
Competitor,VJ2GK-94TCD,Quran Memorization - Level 3 - Male,,,Debate,,**Soccer [DC]** - Male,
Competitor,R9926-OBEX7,Quran Recitation - Male,,,Improv - Male,,**Soccer [DC]** - Male,
Competitor,R9926-XWGN9,Knowledge Test 4,,,,,,
Competitor,R9926-ZHRBR,Quran Memorization - Level 1 - Male,**Culinary Arts [2 max]**,,,,,
Competitor,R9926-HZWZ2,,,,Debate,,,
Competitor,R9926-9L7IS,Knowledge Test 2,Fashion Design,,,,,
Competitor,R9926-5COTD,,,,,,Basketball - Male (waitlisted),
Competitor,R9926-ZOHE0,Knowledge Test 4,,,,,,
Competitor,R9926-UPU04,,,Poetry,,,,**NBA 2K (DC) **
Competitor,A85Q9-GITA3,Knowledge Test 2,,,,,**Soccer [DC]** - Male,
Competitor,V7K3K-I0RGT,,,,MIST Quiz Bowl,,,
Competitor,V7K3K-1M6CN,,,Prepared Essay,MIST Quiz Bowl,Nasheed/Rap - Male,,
Competitor,WF6KD-UC6YP,Quran Recitation - Male,Photography,,,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,V7K3K-06CSA,Quran Recitation - Male,,,MIST Quiz Bowl,,,**NBA 2K (DC) **
Competitor,V7K3K-4KEBQ,,,,MIST Quiz Bowl,,,
Competitor,V7K3K-9NXAA,,,,,,,
Competitor,V7K3K-KDTHG,,,,,,,
Competitor,V7K3K-21X3N,,,,,,,
Competitor,V7K3K-KPLJ5,,,,,,,
Competitor,SIG90-KQKTF,Quran Memorization - Level 1 - Male,,,MIST Quiz Bowl,,**Soccer [DC]** - Male,
Competitor,A85Q9-KXR81,,,,MIST Quiz Bowl,,**Soccer [DC]** - Male,
Competitor,V7K3K-UZ2JI,Quran Memorization - Level 1 - Female,,Poetry,Debate,,,
Competitor,51M64-X3LHK,,Photography,Spoken Word,,Short Film,,
Competitor,51M64-MHX70,Knowledge Test 2,,,,,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,51M64-MTQ7Q,Quran Recitation - Female,**Scrapbook - DC**,,,Short Film,,
Competitor,51M64-MZ1Z9,,,Poetry,,Social Media,,**Chess[DC]**
Competitor,51M64-E4J9G,Knowledge Test 2,,,,,Basketball - Male,
Competitor,51M64-1JA4Y,Knowledge Test 4,,,,Short Film,Basketball - Male,
Competitor,51M64-OFCKA,Knowledge Test 4,,,,,Basketball - Male,
Competitor,EXIMZ-O019Z,,Fashion Design,,,,Basketball - Female,
Competitor,616EC-EQCAG,Quran Memorization - Level 2 - Female,,,,,Basketball - Female,
Competitor,51M64-4VLQU,Quran Recitation - Male,,,,,Basketball - Male,
Competitor,CUMBQ-OLIIM,,Photography,,,,Basketball - Female,
Competitor,CUMBQ-L5TF3,,Photography,,,,Basketball - Female,
Competitor,51M64-Q4A1V,Quran Recitation - Male,,,,,Basketball - Male,
Competitor,HIEQ8-HWAAS,Quran Memorization - Level 1 - Female,**Scrapbook - DC**,,,,Basketball - Female,
Competitor,51M64-SXDZH,Knowledge Test 4,,,,Business Venture,,
Competitor,VJ2GK-JZ9T4,,Photography,,,Social Media,Basketball - Female,
Competitor,51M64-3V41Y,,Photography,,,Social Media,,
Competitor,51M64-ZYJNM,Quran Memorization - Level 1 - Female,,,,Social Media,,
Competitor,51M64-Q5SAO,Knowledge Test 3,,,,,,
Competitor,51M64-JXMND,,Digital Art,,,,Basketball - Male,
Competitor,51M64-EPS3V,Quran Recitation - Female,,,,Nasheed/Rap - Female,,
Competitor,51M64-AKKPF,,,Poetry,,,Basketball - Male,**Super Smash Bros - Singles (DC)**
Competitor,51M64-LX87X,,Photography,,,,,
Competitor,51M64-4D69L,,2D Art,,,,Basketball - Male,
Competitor,WF6KD-E1N4P,Knowledge Test 3,,,,,,
Competitor,WF6KD-K717A,,Photography,Extemporaneous Essay,Debate,,,
Competitor,WF6KD-UW1HD,,**Culinary Arts [2 max]**,,MIST Quiz Bowl,,,
Competitor,WF6KD-ATDEU,,3D Art,Short Fiction,,,,
Competitor,1NO4P-O0WSV,,2D Art,,,,**Soccer [DC]** - Male,
Competitor,WF6KD-AHQQC,Quran Recitation - Male,,,MIST Quiz Bowl,,,**Chess[DC]**
Competitor,WF6KD-PDED9,Knowledge Test 2,3D Art,,MIST Quiz Bowl,,,
Competitor,WF6KD-OT1FF,Knowledge Test 1,,,,Short Film,,**NBA 2K (DC) **
Competitor,WF6KD-NAKM8,,,,Improv - Female,Short Film,,
Competitor,WF6KD-64FAA,Quran Memorization - Level 3 - Male,3D Art,Extemporaneous Essay,,,,**Chess[DC]**
Competitor,WF6KD-AX4LD,Quran Memorization - Level 2 - Male,,,MIST Quiz Bowl,,,
Competitor,WF6KD-KZBX8,,,,Improv - Female,,,
Competitor,WF6KD-JCFKL,Quran Memorization - Level 1 - Female,**Culinary Arts [2 max]**,,,,,
Competitor,WF6KD-IP565,,Photography,,,Social Media,,
Competitor,WF6KD-32GBE,Knowledge Test 1,,Original Oratory,,Humanitarian Service,,
Competitor,NIBVA-FEXOU,,,,,,,
Competitor,NIBVA-YU5HF,,,,,,,
Competitor,XQ9TK-BECDL,,Photography,,,Social Media,,
Competitor,616EC-NJVDG,,Digital Art,,,Social Media,Basketball - Male,
Competitor,CUMBQ-EEOJZ,Knowledge Test 1,,,MIST Quiz Bowl,,**Soccer [DC]** - Male (waitlisted),**NBA 2K (DC) **
Competitor,HIEQ8-D4S36,,Photography,,Improv - Female,Business Venture,Basketball - Female,
Competitor,616EC-7ETYC,Quran Recitation - Female,**Culinary Arts [2 max]**,,MIST Quiz Bowl,,,
Competitor,616EC-XCOO8,,2D Art,,MIST Quiz Bowl,,,
Competitor,616EC-PMLTT,,,Short Fiction,,Short Film,,
Competitor,CUMBQ-PNKVO,,**Scrapbook - DC**,,,,Basketball - Female,
Competitor,616EC-9PD57,,,,Improv - Female,,,
Competitor,EXIMZ-9QX53,,,,Improv - Female,Short Film,Basketball - Female,
Competitor,616EC-BZFXY,Quran Memorization - Level 1 - Female,2D Art,,,,,
Competitor,EXIMZ-SBR86,,,Extemporaneous Essay,,,Basketball - Female,
Competitor,A85Q9-9BER6,,,Extemporaneous Essay,,,Basketball - Female,
Competitor,616EC-VCAXF,Knowledge Test 1,,,,,,
Competitor,YEL9T-0ZMSL,Knowledge Test 1,2D Art,,MIST Quiz Bowl,Short Film,Basketball - Female,
Competitor,616EC-8YMED,,Photography,,MIST Quiz Bowl,,Basketball - Male,
Competitor,616EC-MRFCA,Knowledge Test 2,Photography,Prepared Essay,MIST Quiz Bowl,,Basketball - Male,
Competitor,616EC-PM0N9,Quran Recitation - Female,2D Art,,,,,
Competitor,616EC-3EP4T,Knowledge Test 1,,,,,Basketball - Male,**NBA 2K (DC) **
Competitor,616EC-LPD12,Knowledge Test 1,Photography,,,,Basketball - Male,**NBA 2K (DC) **
Competitor,616EC-S4930,,,,Improv - Female,,,
Competitor,616EC-RV9IS,,2D Art,,,,,**Super Smash Bros - Singles (DC)**
Competitor,616EC-E26DA,,,,MIST Quiz Bowl,,,
Competitor,616EC-4LVMY,,,,,,,
Competitor,CUMBQ-T4I1B,,,,MIST Quiz Bowl,,Basketball - Female,
Competitor,616EC-H94L0,,,,,,,
Competitor,51M64-E8ZK5,,,,,Business Venture,Basketball - Female,
Competitor,616EC-H2NJ3,,,,,Short Film,Basketball - Male,**Super Smash Bros - Singles (DC)**
Competitor,CUMBQ-7FYXN,,3D Art,,,,Basketball - Female,
Competitor,616EC-RARWF,,,Extemporaneous Essay,Debate,,,
Competitor,616EC-LSJ10,Knowledge Test 1,**Culinary Arts [2 max]**,Poetry,,,Basketball - Male,
Competitor,616EC-JR7I8,,,,,Short Film,Basketball - Male,
Competitor,616EC-Q58H1,,,,Improv - Female,,,
Competitor,616EC-DRIWS,Knowledge Test 2,,,,,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,616EC-BYV7J,,,Short Fiction,,,,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,616EC-ERN18,Quran Memorization - Level 1 - Male,,,,,Basketball - Male,
Competitor,616EC-VPWYK,,,,,Short Film,Basketball - Female,
Competitor,Z8W5E-IZGPZ,,,,,,,
Competitor,R9926-JVEP3,Quran Memorization - Level 2 - Female,,Poetry,,Nasheed/Rap - Female,Basketball - Female,
Competitor,UVHWU-IG312,Knowledge Test 1,,,,,Basketball - Female,
Competitor,Z8W5E-SZ654,,,,,,,
Competitor,JUXBW-G0W55,Knowledge Test 1,,,,,Basketball - Male,
Competitor,JUXBW-6870P,Knowledge Test 1,,,,,Basketball - Male,
Competitor,YB4IC-C9CKG,,2D Art,Spoken Word,MIST Quiz Bowl,Social Media,,
Competitor,YB4IC-O41Y6,,**Scrapbook - DC**,,Math Olympics,,,
Competitor,YB4IC-MFQOS,,2D Art,,,,Basketball - Male,**NBA 2K (DC) **
Competitor,YB4IC-3ZVTL,,,,Improv - Male,,Basketball - Male,**Super Smash Bros - Singles (DC)**
Competitor,YB4IC-Q69ZU,,,,Improv - Male,,Basketball - Male,
Competitor,YB4IC-HQ5E6,,**Scrapbook - DC**,,,,,
Competitor,YB4IC-5M7Z9,,,,MIST Quiz Bowl,Social Media,,
Competitor,YB4IC-7N5K0,,Photography,,MIST Quiz Bowl,,,**Super Smash Bros - Singles (DC)**
Competitor,YB4IC-JTJ5S,,,,MIST Quiz Bowl,Social Media,,
Competitor,YB4IC-PK031,,,,Improv - Male,,Basketball - Male,**NBA 2K (DC) **
Competitor,YB4IC-4162K,,,,,Social Media,,
Competitor,YB4IC-EV562,,,,Improv - Male,,Basketball - Male,
Competitor,YB4IC-020XV,Quran Recitation - Male,,Spoken Word,MIST Quiz Bowl,,,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,YB4IC-UTUYB,Knowledge Test 1,,,MIST Quiz Bowl,,Basketball - Male,
Competitor,YB4IC-AQKV0,,,,,Social Media,Basketball - Male,
Competitor,YB4IC-87CRQ,,,,Improv - Male,,Basketball - Male,
Competitor,YB4IC-DIZ5H,,,,,Nasheed/Rap - Male,Basketball - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,YB4IC-1H8RS,,,,Math Olympics,,,
Competitor,CUMBQ-D6UNF,Knowledge Test 1,,,,,Basketball - Male,
Competitor,A85Q9-68DJP,,**Culinary Arts [2 max]**,,,,Basketball - Female,
Competitor,Y0J9Q-F577G,,3D Art,,,Short Film,Basketball - Female,
Competitor,616EC-K4X68,,Photography,,MIST Quiz Bowl,,Basketball - Female,
Competitor,CUMBQ-AUKZJ,,,,,,,
Competitor,CUMBQ-Q6V0K,,Photography,,,,**Soccer [DC]** - Female,**Chess[DC]**
Competitor,CUMBQ-KGMEZ,,,,,Social Media,**Soccer [DC]** - Female,
Competitor,616EC-AZSWG,,,,Debate,,Basketball - Female,
Competitor,A85Q9-F1HTC,,,,,Short Film,Basketball - Female,
Competitor,616EC-8B15T,Quran Memorization - Level 1 - Female,,,,,Basketball - Female,
Competitor,HIEQ8-DNSYL,,,,,Nasheed/Rap - Female,Basketball - Female,
Competitor,616EC-J9437,,,,,Short Film,Basketball - Female,
Competitor,CUMBQ-JXU1A,,2D Art,,,,Basketball - Male,**NBA 2K (DC) **
Competitor,CUMBQ-EQ9GJ,,**Culinary Arts [2 max]**,,,,,
Competitor,CUMBQ-R8N3T,Quran Recitation - Male,,,,,Basketball - Male,
Competitor,CUMBQ-NDOFU,,2D Art,,,,Basketball - Male,
Competitor,VJ2GK-I28JG,Knowledge Test 1,**Scrapbook - DC**,,,,Basketball - Female,
Competitor,CUMBQ-AWZOV,Quran Memorization - Level 3 - Female,,,,,,
Competitor,CUMBQ-O3F9R,,**Scrapbook - DC**,,Improv - Female,,Basketball - Female,
Competitor,EXIMZ-NS67Z,,,,Improv - Male,,**Soccer [DC]** - Male,
Competitor,CUMBQ-BM69P,,,,,,Basketball - Male (waitlisted),**NBA 2K (DC) ** (waitlisted)
Competitor,KHPIY-U5MKI,,,Extemporaneous Speaking,Debate,Social Media,**Soccer [DC]** - Male (waitlisted),
Competitor,CUMBQ-746KI,,3D Art,,,,Basketball - Male,
Competitor,RNYXX-DFNW5,Knowledge Test 3,,,MIST Quiz Bowl,,,**Super Smash Bros - Singles (DC)**
Competitor,RNYXX-81LEX,,,,,,,
Competitor,RNYXX-8HJ89,Knowledge Test 2,,,MIST Quiz Bowl,,,**Super Smash Bros - Singles (DC)**
Competitor,RNYXX-C68M3,Knowledge Test 2,,,MIST Quiz Bowl,,,
Competitor,RNYXX-T7O21,,,Short Fiction,,,,
Competitor,RNYXX-Q96AC,Knowledge Test 4,2D Art,Extemporaneous Essay,,Humanitarian Service,,
Competitor,RNYXX-Z933V,Quran Recitation - Male,,,MIST Quiz Bowl,,Basketball - Male,**Chess[DC]**
Competitor,Y0J9Q-IRPWT,,,,Improv - Male,,**Soccer [DC]** - Male,**FIFA 2020 (PS4 + XBOX) - DC**
Competitor,PA0EM-RYL5I,Knowledge Test 1,Photography,Poetry,MIST Quiz Bowl,Social Media,**Soccer [DC]** - Female,
Competitor,PA0EM-VKGCB,,2D Art,,MIST Quiz Bowl,,,
Competitor,PA0EM-ZI18N,,,,MIST Quiz Bowl,,,
Competitor,PA0EM-27NLU,,2D Art,,Debate,Short Film,,
